34
0
250 100
52.140190	5.584151
52.039822	4.325566
53.253380	5.898751
52.565514	5.933411
52.263432	7.003527
51.641022	4.861690
51.274101	5.576351
51.504646	3.891130
53.174637	5.425152
52.298664	5.629619
51.994331	5.977694
51.865734	4.924345
53.049374	5.834147
52.387386	4.646219
52.490307	4.803085
52.077606	4.543190
52.338055	4.780278
53.054626	4.799725
52.031635	4.654641
51.359402	5.315816
52.371807	4.896029
52.785805	6.897585
51.687897	5.057482
52.377956	4.897070
52.442039	4.829199
52.160114	4.497010
52.370216	4.895168
52.078663	4.288788
52.266075	6.155217
52.608051	6.674023
51.813297	4.690093
52.092876	5.104480
52.371353	5.222124
51.926666	6.580678
